Tons,Bush Length,Type,Bush OD,Clearance,Notches,Notch Angle degree,Notch length(mm),Working _fine
4.8,35,HEC,56.942,0.111,3,1.2,26,Y
4.8,35,HEC,56.98,0.073,3,1.2,26,Y
4.8,35,HEC,56.96,0.093,2,1.2,26,N
4.8,35,HEC,56.995,0.058,2,1.2,26,N
4.8,35,HEC,56.97,0.083,2,0.05,29,Y
4.8,35,HEC,57.005,0.048,2,0.05,29,Y
4.8,35,HEC,56.97,0.083,2,0.05,25,N
4.8,35,HEC,57.005,0.048,2,0.05,25,N
4.8,35,HEC,56.97,0.083,2,0.25,25,N
4.8,35,HEC,57.005,0.048,2,0.25,25,N
4.8,35,HEC,56.97,0.083,3,1.2,26,N
4.8,35,HEC,57.005,0.048,3,1.2,26,N
4.8,35,HEC,56.95,0.09,2,0.1,25,N
4.8,35,HEC,56.93,0.06,2,0.1,25,N
5.5,39,HEC,66.945,0.11,3,1.2,30,N
5.5,39,HEC,66.98,0.075,3,1.2,30,N
5.5,39,HEC,66.965,0.09,2,1.2,30,N
5.5,39,HEC,67,0.055,2,1.2,30,N
5.5,39,HEC,66.975,0.08,2,0.05,33,N
5.5,39,HEC,67.01,0.045,2,0.05,33,N
5.5,39,HEC,66.975,0.08,3,1.2,30,Y
5.5,39,HEC,67.01,0.045,3,1.2,30,Y
5.5,44.5,HEC,65.47,0.11,3,1.2,35.5,N
5.5,44.5,HEC,65.45,0.07,3,1.2,35.5,N
5.5,44.5,HEC,55.47,0.11,3,1.02,35.7,N
5.5,44.5,HEC,55.45,0.07,3,0.98,35.7,N
5.5,44.5,HEC,56.95,0.09,2,0.6,25,N
5.5,44.5,HEC,56.93,0.04,2,0.4,25,N
5.5,44.5,HEC,56.97,0.11,3,1.05,26,N
5.5,44.5,HEC,56.95,0.07,3,0.95,26,N
5.5,44.5,HEC,55.56,-0.07,3,1.02,35.7,N
5.5,44.5,HEC,55.54,-0.11,3,0.98,35.7,N
5.5,44.5,HEC,57.02,-0.04,2,0.6,25,N
5.5,44.5,HEC,56.99,-0.09,2,0.4,25,N
5.5,44.5,HEC,56.97,0.11,3,1.05,26,N
5.5,44.5,HEC,56.95,0.07,3,0.95,26,N
5.5,44.5,HEC,65.47,0.11,3,1.02,35.7,N
5.5,44.5,HEC,65.45,0.07,3,0.98,35.7,N
5.5,44.5,HEC,66.95,0,2,0.6,30,N
5.5,44.5,HEC,66.99,0.07,2,0.4,30,N
5.5,44.5,HEC,66.97,0.11,3,1.05,26,N
5.5,44.5,HEC,66.95,0.07,3,0.95,26,N
5.5,39,HEC,,0.084,3,1,30,Y
5.5,39,HEC,,0.077,3,1,30,N
5.1,35,HEC,,0.048,2,2,25,N
5.1,35,HEC,,0.048,2,0.5,25,N
5.1,35,HEC,,0.093,2,1,26,M
5.1,35,HEC,,0.093,2,1,26,M
5.5,39,HEC,,0.045,3,1,30,N
5.1,35,HEC,,0.058,2,1,26,Y
5.1,35,HEC,,0.058,2,1,26,Y
5.5,39,HEC,,0.055,2,1,30,Y
5.1,35,HEC,,0.048,3,1,26,N
5.1,35,HEC,,0.083,3,1,26,N
5.5,39,HEC,,0.09,2,1,30,N
8,45,HEC,72,0.085,4,2.5,32.3,Y
2.5,35,HEC,52,0.055,4,1.2,35,Y
2.6,35,HEC,52,0.055,4,1.2,35,Y
3.5,35,HEC,57,0.05,4,1.2,26,Y
4.8,35,HEC,57,0.085,2,1.2,26,Y
4.8,35,HEC,57,0.085,2,1.2,26,Y
2,30,HEC,45.9,0.0945,2,0.5,20,Y
4,45,HEC,61.85,0.2,,,25,Y
3,45,HEC,72,0.0375,0,0,40,Y
2,30,HEC,45.9,0.139,0,0,20,Y
5,39,HEC,62,0.065,2,0.1,23,Y
2,35,HEC,52,0.055,2,0.25,35,Y
3.3,35,HEC,52,0.06,2,0.33,35,Y
2.5,27,CEC,22,0.2465,4,1.5,24,N
8,45,HEC,67,0.08,2,0.25,42,Y
2.5,27,CEC,22,0.25,4,1,24,Y
2.6,27,CEC,22,0.25,4,1.5,24,Y
3.5,27,CEC,22,0.21,4,1.2,24,Y
4,35,CEC,55.85,1.19,,,22,Y
7,60,CEC,18,0.224,3,2.5,30,Y
2,27,CEC,22,0.1765,4,1,24,Y
3.3,27,CEC,22,0.21,4,1.5,24,Y
3.8,27,CEC,22,0.21,4,1.2,24,Y
3.5,35,HEC,52,0.06,2,0.15,35,Y
4.8,35,HEC,57,0.085,2,1.2,26,Y
5.1,35,HEC,57,0.085,2,1.2,26,Y
5,30,HEC,47,0.065,,,30,Y
8.1,65,CEC,18,0.3341,3,2.5,24.5,Y
3.8,35,HEC,57,0.05,2,1.2,26,Y
